Date,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-08-16 20:00:00,117672.13,117713.51,117219.34,117380.66,832.93131,97847917.401176,145925,289.07628,33957125.5108296
2025-08-17 00:00:00,117380.66,117771.37,117172.21,117684.95,770.53091,90497907.7501306,177443,366.14855,43006974.0861199
2025-08-17 04:00:00,117684.96,118230.82,117684.95,118005.98,1109.68335,130931507.9108315,177443,590.28392,69648555.7007364
2025-08-17 08:00:00,118005.98,118484.0,117922.0,118308.01,1007.67549,119183257.3345744,197461,550.06661,65051754.0759733
2025-08-17 12:00:00,118308.0,118575.0,118059.12,118246.16,974.27271,115208961.8953439,178505,420.11469,49689616.7256929
2025-08-17 16:00:00,118246.15,118316.01,117321.53,117570.07,1326.17558,156204693.6576528,270938,570.31811,67171534.1173317
2025-08-17 20:00:00,117570.07,117995.37,117371.65,117405.01,710.30388,83602869.3552741,175773,307.79925,36231013.3845112
2025-08-18 00:00:00,117405.01,117543.75,115000.0,115319.0,5801.42298,673780931.1765177,973728,2456.39552,285283810.78122807
2025-08-18 04:00:00,115319.0,115712.49,114878.71,115205.98,3433.42415,395866077.87857664,570851,1405.82751,162118689.0935232
2025-08-18 08:00:00,115205.99,115402.51,114640.14,114947.27,2793.98984,321376818.7393555,485363,1159.25007,133348030.7723832
2025-08-18 12:00:00,114947.27,116186.97,114825.0,116145.34,2772.17945,319990073.13056,650916,1456.17184,168133589.6648952
2025-08-18 16:00:00,116145.34,116800.0,115818.86,116313.99,1731.37273,201448268.7042298,418825,715.63515,83277668.6290158
2025-08-18 20:00:00,116314.0,116980.0,115980.32,116227.05,1213.55039,141351915.8425378,246597,454.42658,52947190.547703
2025-08-19 00:00:00,116227.05,116725.69,114787.23,114810.0,2390.89748,276523497.6632709,629615,974.28091,112696255.7055523
2025-08-19 04:00:00,114810.01,115483.24,114366.0,114978.14,2499.12321,287170834.5720871,563407,1161.24152,133455731.7795487
2025-08-19 08:00:00,114978.15,115650.0,114804.0,115508.71,1471.04277,169605923.1318309,298029,843.37696,97223158.1017268
2025-08-19 12:00:00,115508.71,115875.84,113587.68,113786.38,5294.46316,605597290.2178577,857149,2543.82655,291010341.6467616
2025-08-19 16:00:00,113786.39,113897.58,112767.06,113132.48,3784.35052,428905575.20465535,591076,2018.11062,228747669.6690324
2025-08-19 20:00:00,113132.49,113589.48,112732.58,112872.94,2625.5971,297207775.0687644,351906,1068.57714,120960388.6918003
2025-08-20 00:00:00,112872.95,113636.13,112566.01,113525.91,3116.70576,352631514.8773857,510162,1164.01315,131714471.2512624
2025-08-20 04:00:00,113525.9,113837.93,113432.0,113490.13,1367.41482,155379967.2659294,226386,683.43432,77663127.0574559
2025-08-20 08:00:00,113490.14,114016.77,113060.08,113666.68,2352.50644,267518086.2584422,377977,1066.60404,121301550.1408042
2025-08-20 12:00:00,113666.69,114326.35,112380.0,113353.94,4605.43198,522278044.57226527,980643,2123.07459,240877531.6857148
2025-08-20 16:00:00,113353.94,114444.0,113264.01,114276.66,2624.00614,298829017.1306247,634049,1342.66385,152899931.0930765
2025-08-20 20:00:00,114276.66,114615.38,114000.0,114271.24,1570.2768,179512936.0201263,269153,829.7958,94874358.9875481
2025-08-21 00:00:00,114271.23,114821.76,113906.01,113954.62,1626.72781,185841315.9015962,376353,808.20883,92356069.7902004
2025-08-21 04:00:00,113954.62,114033.84,113582.43,113896.03,1612.36321,183481882.07337648,278315,870.46157,99045269.1006013
2025-08-21 08:00:00,113896.03,113990.0,113000.0,113148.66,1509.65106,171287136.9596163,338663,634.87235,72052473.7051661
2025-08-21 12:00:00,113148.65,113995.11,112608.64,112792.08,2521.11028,285394179.2345784,562395,1189.66013,134689675.9050947
2025-08-21 16:00:00,112792.08,112969.47,112015.67,112193.71,2468.80417,277549685.1122694,499262,1258.41931,141481694.2445191
2025-08-21 20:00:00,112193.71,112870.94,112067.46,112500.0,1101.03582,123819589.3341261,302392,584.85788,65775158.7089112
2025-08-22 00:00:00,112500.0,113525.0,112335.6,112929.24,1610.19525,182026286.43214792,367861,995.49538,112552643.5766311
2025-08-22 04:00:00,112929.24,113394.76,112708.81,113094.83,1656.2572,187332321.37900832,331580,887.04271,100334516.0917306
2025-08-22 08:00:00,113094.83,113319.3,112177.27,112320.0,1932.43574,217921342.7541691,317304,924.65796,104288496.3389846
2025-08-22 12:00:00,112320.01,117296.12,111684.79,116370.75,11505.26127,1319396835.1382184,1584774,6041.80772,693092581.0510073
2025-08-22 16:00:00,116370.75,117429.05,116116.0,116655.79,4307.94644,502648352.2645439,577064,2128.81326,248441571.9065864
2025-08-22 20:00:00,116655.79,117174.43,116550.96,116935.99,2115.99447,247299984.30969888,259935,865.78008,101197902.9077293
2025-08-23 00:00:00,116936.0,117030.0,115458.2,115568.77,2647.58419,307518062.9159125,507557,1007.23464,117041716.9165045
2025-08-23 04:00:00,115568.77,116034.53,115551.2,115799.47,2258.18362,261617133.7885828,247598,1110.53791,128658846.832356
2025-08-23 08:00:00,115799.46,115861.8,115223.43,115310.13,1313.89391,151932657.1203225,171068,625.01231,72288422.7756794
2025-08-23 12:00:00,115310.13,115486.97,114560.0,114812.87,3027.56166,348062480.90316206,373481,1303.05919,149801287.5857139
2025-08-23 16:00:00,114812.88,115190.74,114684.11,115133.91,1105.55067,127121304.5068966,151735,446.56857,51348035.3053682
2025-08-23 20:00:00,115133.92,115454.12,115001.88,115438.05,976.58792,112573788.7794821,108130,590.93752,68135583.7158213
2025-08-24 00:00:00,115438.06,115666.68,114934.21,115036.0,1995.92433,230109582.59534007,291862,1007.06495,116114555.0868121
2025-08-24 04:00:00,115036.01,115283.21,114846.14,114888.19,1715.6873,197387179.73029,205688,587.93262,67632167.1041024
2025-08-24 08:00:00,114888.19,115060.99,114600.0,114730.22,2223.47925,255263363.4545519,267625,995.18062,114257369.6205518
2025-08-24 12:00:00,114730.22,114869.41,114350.57,114400.0,2662.01905,305089212.1529284,339333,1116.24094,127945653.3943689
2025-08-24 16:00:00,114400.01,114917.1,110680.0,112600.0,8322.01988,943283691.7626015,791837,3650.90078,413888935.5076655
2025-08-24 20:00:00,112600.0,113692.97,111632.85,113493.59,4256.85481,480151576.49346465,677561,1967.74719,222016520.6208116
2025-08-25 00:00:00,113493.59,113667.28,112159.0,112916.84,2384.9729,269655699.2574896,665721,1121.82787,126832729.8132379
2025-08-25 04:00:00,112916.84,113059.52,111284.05,111511.55,4054.02521,454597068.9102952,667424,1925.81482,215964679.10904127
2025-08-25 08:00:00,111511.56,111850.13,110929.48,111214.97,4028.25788,448564942.2714551,624668,1929.68354,214949901.61912727
2025-08-25 12:00:00,111214.97,112580.0,110588.0,112200.64,4593.3206,513032034.6739639,914685,2398.82756,267986773.11341447
2025-08-25 16:00:00,112200.65,112937.26,110655.01,110716.13,3109.40411,348208706.3669646,685712,1261.82967,141419773.4818536
2025-08-25 20:00:00,110716.13,111092.54,109274.1,110111.98,7012.81309,771512202.1508546,1137508,2749.59824,302509128.2075053
2025-08-26 00:00:00,110111.98,110111.98,108666.66,109879.56,4155.39206,455011698.2249369,1097720,1983.06646,217185031.089634
2025-08-26 04:00:00,109879.57,110547.31,109765.93,110303.2,1910.05232,210359826.37700552,624551,1025.54731,112960716.0912012
2025-08-26 08:00:00,110303.2,110455.13,109570.34,109876.52,1852.10166,203892967.452285,344139,870.12354,95800304.5841074
2025-08-26 12:00:00,109876.53,110818.6,109393.93,109666.33,4559.68511,501940355.7311305,1065558,2450.01989,269746462.00346273
