buy_t,sell_t,total_trades,win_rate,total_return,avg_return,sharpe,max_dd
2.75,-1.75,3,0.6666666666666666,0.003421406205302859,0.001140468735100953,10.12183534110623,0.0
1.5,-0.25,19,0.42105263157894735,0.0031337391997929014,0.00016493364209436322,0.4420152792048413,-0.02002249575188697
2.75,1.75,3,0.6666666666666666,0.002966959108044731,0.0009889863693482437,1.077197937520978,0.0
3.0,-3.0,1,1.0,0.0026416194289224184,0.0026416194289224184,0.0,0.0
3.0,-2.75,1,1.0,0.0026416194289224184,0.0026416194289224184,0.0,0.0
2.75,-3.0,3,0.6666666666666666,0.0019969391947355043,0.0006656463982451681,6.135753096968957,-0.0014917203983890737
2.75,-2.75,3,0.6666666666666666,0.0019969391947355043,0.0006656463982451681,6.135753096968957,-0.0014917203983890737
2.75,1.5,3,0.6666666666666666,0.0019816533283180844,0.0006605511094393614,0.730412096665016,0.0
1.75,-0.25,15,0.4,0.0007338729974671961,4.892486649781307e-05,0.11678672456372637,-0.020429907525112312
-3.0,-2.5,249,0.4738955823293173,0.0006008122027648943,2.412900412710419e-06,0.007136543439740718,-0.09577294615807719
-2.75,-2.5,249,0.4738955823293173,0.0006008122027648943,2.412900412710419e-06,0.007136543439740718,-0.09577294615807719
-2.5,-2.5,248,0.4596774193548387,0.00016880265909588466,6.806558834511478e-07,0.002057255857331881,-0.1327151562522142
2.75,-2.5,3,0.3333333333333333,-0.00011822207059962399,-3.940735686654133e-05,-0.8844547053784853,-0.00011486124089821192
2.75,-2.25,3,0.3333333333333333,-0.00011822207059962399,-3.940735686654133e-05,-0.8844547053784853,-0.00011486124089821192
3.0,-2.5,1,0.0,-0.0008504009939034777,-0.0008504009939034777,0.0,0.0
3.0,-2.25,1,0.0,-0.0008504009939034777,-0.0008504009939034777,0.0,0.0
3.0,-2.0,1,0.0,-0.0008504009939034777,-0.0008504009939034777,0.0,0.0
3.0,-1.75,1,0.0,-0.0008504009939034777,-0.0008504009939034777,0.0,0.0
3.0,-1.5,1,0.0,-0.0008504009939034777,-0.0008504009939034777,0.0,0.0
3.0,-1.25,1,0.0,-0.0008504009939034777,-0.0008504009939034777,0.0,0.0
3.0,-1.0,1,0.0,-0.0008504009939034777,-0.0008504009939034777,0.0,0.0
3.0,-0.75,1,0.0,-0.0008504009939034777,-0.0008504009939034777,0.0,0.0
3.0,-0.5,1,0.0,-0.0008504009939034777,-0.0008504009939034777,0.0,0.0
3.0,-0.25,1,0.0,-0.0008504009939034777,-0.0008504009939034777,0.0,0.0
3.0,0.0,1,0.0,-0.0008504009939034777,-0.0008504009939034777,0.0,0.0
3.0,0.25,1,0.0,-0.0008504009939034777,-0.0008504009939034777,0.0,0.0
-3.0,-2.25,248,0.4717741935483871,-0.0008926357360094749,-3.5993376451994954e-06,-0.010624771998308476,-0.09577294615807719
-2.75,-2.25,248,0.4717741935483871,-0.0008926357360094749,-3.5993376451994954e-06,-0.010624771998308476,-0.09577294615807719
-2.5,-2.25,247,0.4574898785425101,-0.0013246452796784984,-5.362936354973677e-06,-0.01617743537751176,-0.1327151562522142
1.25,-0.25,32,0.46875,-0.0029472121019415883,-9.210037818567463e-05,-0.19881198422771834,-0.04129101078174169
1.5,-2.5,22,0.4090909090909091,-0.003487359156325793,-0.00015851632528753604,-0.522645183617998,-0.020883159842981835
1.5,-2.25,22,0.4090909090909091,-0.003487359156325793,-0.00015851632528753604,-0.522645183617998,-0.020883159842981835
2.75,1.25,3,0.6666666666666666,-0.004566257254706409,-0.0015220857515688031,-1.87295898179615,0.0
2.5,-1.5,6,0.3333333333333333,-0.004729701121434976,-0.0007882835202391627,-1.546998917593357,-0.01564396475770924
