Date,open,high,low,close,open_binned,high_binned,low_binned,close_binned,volume_binned,quote_asset_volume_binned,num_trades_binned,taker_buy_base_asset_volume_binned,taker_buy_quote_asset_volume_binned,MA_20_binned,EMA_20_binned,BBL_20_2.0_binned,BBM_20_2.0_binned,BBU_20_2.0_binned,BBB_20_2.0_binned,BBP_20_2.0_binned,RSI_14_binned,MACD_12_26_9_binned,MACDs_12_26_9_binned,MACDh_12_26_9_binned,ATR_14_binned,Return_binned,High_Low_binned,Open_Close_binned,UpperShadow_binned,LowerShadow_binned,Hour_binned,Weekday_binned,Volume_MA20_binned,Volume_Change_binned,VWAP_binned,VWAP_20_binned
2025-08-15 20:00:00,116936.28,117761.88,116862.5,117342.05,0,0,0,0,3,3,2,3,3,3.0,3,3.0,3.0,4.0,0.0,0.0,2.0,3,3,0,4.0,4.0,4,4,4,1,4,0,3.0,0.0,3,3.0
2025-08-16 00:00:00,117342.04,117898.99,117231.14,117429.63,0,3,2,2,4,4,3,4,4,3.0,3,3.0,3.0,4.0,1.0,1.0,0.0,3,3,1,3.0,2.0,3,2,4,1,0,3,3.0,3.0,3,3.0
2025-08-16 04:00:00,117429.63,117884.0,117278.0,117596.07,2,3,3,2,1,1,1,1,1,2.0,2,2.0,2.0,3.0,2.0,2.0,0.0,2,2,2,2.0,3.0,3,3,3,2,0,3,2.0,0.0,2,2.0
2025-08-16 08:00:00,117596.07,117703.92,117143.98,117378.52,2,0,1,1,3,3,3,2,1,2.0,2,2.0,2.0,4.0,1.0,1.0,0.0,0,2,2,2.0,1.0,2,1,0,4,1,3,2.0,4.0,1,2.0
2025-08-16 12:00:00,117378.52,117825.0,117327.63,117676.7,1,2,3,3,2,2,2,2,2,1.0,1,1.0,1.0,3.0,2.0,2.0,1.0,0,1,3,1.0,3.0,0,3,2,0,2,3,1.0,2.0,0,1.0
2025-08-16 16:00:00,117676.7,117817.65,117629.94,117672.12,3,1,4,3,0,0,0,0,0,1.0,1,0.0,1.0,2.0,3.0,3.0,1.0,1,1,3,1.0,1.0,0,1,2,0,3,3,1.0,1.0,1,1.0
2025-08-16 20:00:00,117672.13,117713.51,117219.34,117380.66,3,0,2,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,3.0,3.0,3.0,0,0,4,0.0,0.0,0,0,0,3,4,3,0.0,3.0,0,0.0
2025-08-17 00:00:00,117380.66,117771.37,117172.21,117684.95,1,1,1,4,0,0,0,0,0,0.0,0,0.0,0.0,0.0,4.0,4.0,4.0,1,0,4,0.0,4.0,2,4,0,3,0,6,0.0,2.0,0,0.0
2025-08-17 04:00:00,117684.96,118230.82,117684.95,118005.98,4,4,4,4,1,1,0,3,3,0.0,0,1.0,0.0,0.0,4.0,4.0,4.0,2,0,4,0.0,4.0,1,4,3,0,0,6,0.0,4.0,2,0.0
2025-08-17 08:00:00,118005.98,118484.0,117922.0,118308.01,4,4,4,4,0,0,0,1,1,4.0,4,3.0,4.0,4.0,4.0,4.0,4.0,3,3,3,0.0,4.0,0,4,1,0,1,6,4.0,2.0,3,4.0
